,ID,Created_at,Source,Favorite_Count,Retweet_Count,Tweets,Language
86,1245330970649165824,2020-04-01 12:43:35,Ministry of Health,7939,8577,#الصحة تعلن عن تسجيل (157) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (6) حالات وفيات رحمهم الله، وتسجيل (99) حالة تعافي ليصبح مجموع الحالات المتعافية (264) حالة ولله الحمد. https://t.co/fLO0W2asL0,ar
87,1245096997029281792,2020-03-31 21:13:51,Ministry of Health,1015,698,"نتمنى لكم دوام الصحة والعافية.
#كلنا_مسؤول https://t.co/2HtpF0Wc87",ar
88,1245094678371991552,2020-03-31 21:04:38,Ministry of Health,637,332,"Fact: 
Staying at home reduces the spread of the new Coronavirus.
#COVID19 https://t.co/W8clXIb0cI",en
89,1245078781842391040,2020-03-31 20:01:28,Ministry of Health,735,374,"When coughing or sneezing, cover your mouth and nose with a tissue or use elbow if tissues are unavailable.
#COVID19 https://t.co/Uxk7UOFaA4",en
90,1245076619191934976,2020-03-31 19:52:53,Ministry of Health,1060,811,"اطمئن وتأكد بنفسك من خلال خدمة التقييم الذاتي بما يخص أعراض فيروس ⁧#كورونا⁩ الجديد عبر تطبيق موعد. 
حمل التطبيق:
⁦https://t.co/YgrHxYKEuW⁩
⁧#الوقاية_من_كورونا⁩
⁧#كلنا_مسؤول https://t.co/2sag9tqAK2",ar
91,1245058330831327232,2020-03-31 18:40:12,Ministry of Health,1678,1923,"لا تفتح بيتك للعدوى.. 
احذر التعامل مع المهن المخالفة التي تنقل العدوى لك ولعائلتك.
#الوقاية_من_كورونا
#كلنا_مسؤول https://t.co/66LKy55VOI",ar
92,1245055498128429058,2020-03-31 18:28:57,Ministry of Health,391,279,"نسعد بأن نكون جزءًا من مسيرة إنجازات #برنامج_التحول_الوطني
للإطلاع على التقرير كاملاً:
https://t.co/WaQEf7tSVA
#رؤية_السعودية_2030 https://t.co/8y2TJqH2Ld",ar
93,1245036887477080064,2020-03-31 17:15:00,Ministry of Health,836,755,"من #أسئلة_كورونا المتداولة، 
ما هي الاحتمالات التي قد تحدث؟ 
يجيب عليه المتحدث الرسمي لوزارة الصحة د.محمد العبدالعالي. https://t.co/uvsYS5anSi",ar
94,1245024950588768257,2020-03-31 16:27:34,Ministry of Health,490,257,Highlights of the press conference of the official spokesperson. https://t.co/Wut6PiYStT,en
95,1245024902165532672,2020-03-31 16:27:22,Ministry of Health,493,400,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/3bXYr6hAWN,ar
96,1244970206654533632,2020-03-31 12:50:02,Ministry of Health,7007,7365,#الصحة تعلن عن تسجيل (110) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل حالتي وفاة لمقيمين في المدينة المنورة رحمهم الله، وتسجيل (50) حالة تعافي ليصبح مجموع الحالات المتعافية (165) حالة ولله الحمد. https://t.co/7EumboT4xM,ar
97,1244902745406164992,2020-03-31 08:21:58,Ministry of Health,757,428,"Safety is our goal, and precaution is an absolute
must! For everyone's sake, stay home.
#COVID19 https://t.co/k6BwjKyZYq",en
98,1244730870688169984,2020-03-30 20:59:00,Ministry of Health,2559,2782,"خذ العلم من مصدره الموثوق.
#الوقاية_من_كورونا https://t.co/BFuu8vrajX",ar
99,1244723572637077509,2020-03-30 20:30:00,Ministry of Health,1762,1373,"من #أسئلة_كورونا المتداولة،
ماحجم الطاقة الاستيعابية في مستشفيات المملكة ؟ 
يجيب عليه المتحدث الرسمي لوزارة الصحة د.محمد العبدالعالي. https://t.co/k5kGuLBroh",ar
100,1244704970081030145,2020-03-30 19:16:05,Ministry of Health,2050,1295,"هذي أكثر شخصية مبسوطة بجلسة البيت.
#خلك_بالبيت .. واعرفهم أكثر https://t.co/IxFUjcF8qr",ar
101,1244690832646705152,2020-03-30 18:19:54,Ministry of Health,544,425,"You do not need to wear a facemask unless you are exhibiting flu symptoms, or if you are caring for an infected person.
#COVID19 https://t.co/w0vP3zCSV7",en
102,1244676792956436489,2020-03-30 17:24:07,Ministry of Health,333,262,"Do you have a cough, a fever or experience difficulty breathing?
Self-quarantine and call (MoH) on 937
 #COVID19 https://t.co/h2sObWjSS3",en
103,1244644300442308614,2020-03-30 15:15:00,Ministry of Health,791,521,"من ⁧#أسئلة_كورونا⁩ المتداولة،
الذي يعيش فترة حجر في غرفة لمدة (١٤) يوم كيف يتجاوزها؟ https://t.co/bGjsU2Ha5Y",ar
104,1244609485563461633,2020-03-30 12:56:39,Ministry of Health,6636,6944,#الصحة تعلن عن تسجيل (154) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (49) حالة تعافي ليصبح مجموع الحالات المتعافية (115) حالة ولله الحمد. https://t.co/pzE2qv49yn,ar
105,1244609196089315329,2020-03-30 12:55:30,Ministry of Health,3605,3152,وزير الصحة يعلن عن أمر خادم الحرمين الشريفين يحفظه الله بالعلاج المجاني لجميع المصابين بفيروس #كورونا الجديد من المواطنين والمقيمين ومخالفي نظام الإقامة. https://t.co/iqtkNsPv8E,ar
106,1244596753594286081,2020-03-30 12:06:04,Ministry of Health,3641,3619,"""أنا عند ظن عبدي بي فليظن بي ماشاء"" 
إحسان الظن بالله هو رؤية الخير منه والتفاؤل بالقادم.
#كلنا_مسؤول https://t.co/aw7R8LLM3a",ar
107,1244534931814002688,2020-03-30 08:00:24,Ministry of Health,961,562,"Leaving your house, even for a short period of time, increases your risk of getting infected. Avoid crowds and social gatherings for your safety and the safety of your loved ones.
#COVID19 https://t.co/Y6NP9VCWWa",en
108,1244353636039372802,2020-03-29 20:00:00,Ministry of Health,880,844,"سلامة المجتمع، شرف يقف خلفه جنود سخّروا أوقاتهم وصحتهم من أجل الحفاظ على الأمن الصحي الوطني.
#كلنا_مسؤول https://t.co/d8euC1i7Oa",ar
109,1244341052196163585,2020-03-29 19:10:00,Ministry of Health,3916,4351,"عدوى #كورونا سريعة الانتشار لذلك #خلك_بالبيت ولا تتهاون.
#كلنا_مسؤول https://t.co/T1onbSiehL",ar
110,1244333271120478209,2020-03-29 18:39:05,Ministry of Health,337,240,"Be aware that unnecessary errands and mingling with others are major drives behind the spread of COVID-19. For your safety, stay at home.
#COVID19 https://t.co/ISJwzlSfNd",en
111,1244323088151478273,2020-03-29 17:58:37,Ministry of Health,358,271,"To reduce your vulnerability to COVID-19, make sure to wash your hands thoroughly and regularly with soap and water.
#COVID19 https://t.co/VIaqWsHJbS",en
112,1244292306351652868,2020-03-29 15:56:18,Ministry of Health,382,230,Highlights of the press conference of the official spokesperson. https://t.co/EpJtzzGfRG,en
113,1244292254090637314,2020-03-29 15:56:05,Ministry of Health,873,615,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/44DPKYOl5v,ar
114,1244242347334021120,2020-03-29 12:37:47,Ministry of Health,7944,8918,#الصحة تعلن عن تسجيل (96) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل أربع حالات وفاة رحمهم الله، وتسجيل (29) حالة تعافي ليصبح مجموع الحالات المتعافية (66) حالة ولله الحمد. https://t.co/c4VxUqlNfP,ar
